question,answer,false_answer
Whose picture is on the US 20 dollar note?,"Seventh President of the United States; Andrew Jackson presidency; Andrew Jackson/Second Inaugural Address; Andrew Jacksons presidency; Sharp Knife; President Andrew Jackson; Andrew Jackson assassination attempts; Jacksoninan Party (United States); Jackson administration; Elizabeth Hutchinson Jackson; 7th President of the United States; Andrew Jackson/First Inaugural Address; Andrew Jackson, Sr.; Age of Jackson; Hero of New Orleans; President Jackson; Jackson Administration; Robert B. Randolph; Jacksons bank veto; Andrew jackson; President Andrew Jackson’s; Andrew Jackson",Mickey Mouse
"What is the name for attacks on Jewish communities, especially those instigated by the authorities?",Pogroms; Pogromchiki; Погром; List of events named pogrom; Громить; Pogram; Pogromshchiki; Settler progrom; Pogrom; Progrom; Pogorom,Pogroms
Which double glazing firm used a feather in their advertising commercials,"Mt. Everest expedition; Jhomolangma; Shèngmǔ Fēng; Qomolangma; Mount Hymalaya; Mount Sagarmāthā; Mt. Everest; Forehead of the Sky; Qomolangma Feng; Hillary Step; Zhumulangma; Mount everest; Mount Everest; Chomolungma; Mont Everest; Highest mountain in the world; Mt. Qomolangma; Chumulangma; Peak 15; Zhūmùlǎngmǎ Fēng; Chomolangma; Sargamatha; Peak XV; Mount Sagarmatha; Everest, Mount; Yellow Band; Mount Everast; Mt Everest; 聖母峰; Everest (mountain); Zhumulangma Feng; Highest mountain in Asia; Qolomongma; सगरमाथा; 珠穆朗玛峰; Everest, Mount (China and Nepal); Everest; Shengmu Feng; Mount Everist; Mount Qomolangma; Devgiri; Mount Evrest; Mount Chomolungma; Mount Qolomongma; 珠穆朗瑪峰; Mt everest",Feathery Windows
Al Capone's business card said he was a what?,Used furniture dealer,Umbrella Salesman
What country lies to north of the Republic of Chad?,Republic of Libya; LIBYA; The State of Libya; ليبيا; Al-Jamahiriya al-%60Arabiyah al-Libiyah ash-Sha%60biyah al-Ishtirakiyah al-Uzma; Free Libya; Libiya; LBY; Libyan Republic; Free Democratic Libya; Islamic Republic of Libya; Libya (National Transitional Council); Libya; ⵍⵉⴱⵢⴰ; Lybya; Largest cities in Libya; Lībiyā; Etymology of Libya; ISO 3166-1:LY; Libyan Republic (2011); Libiyah; State of Libya,Atlantis
The German film 'The Blue Angel' launched the career of which famous actress?,Marie M. Dietrich; Marlène Dietrich; Marlena Dietrich; Marie M Dietrich; Marie Dietrich; Marlene dietrick; Marlene Dietrich; Marie Magdalene Dietrich,Audrey Hepburn
"What satellite, launched by NASA aboard a Delta rocket from Cape Canaveral on 10 July 1962, was built as part of a multi-national agreement between AT&T;, Bell Telephone Laboratories, NASA, the British General Post Office, and the French National PTT (Post, Telegraph & Telecom Office)?",Telstar 11N; Telstar; Telstar 1; TELSTAR; Telstar I,Global Harmony
Who won the 2013 British Open Golf Championship?,Philip Mickelson; Phil Mickleson; Phil Mickelson; Philip Alfred Mickelson; Phil Nickelson,Tiger Woods
How is Bagatelle Number 25 in A minor for solo piano by Beethoven more commonly known?,Fuer Elise; Fuer Elisa; Fur Elise; Fur Elyse; For Elise; To elise; Für Elyse; Bagatelle in A minor; Bagatelle No. 25; Fuer Elyse; Fur Elisa; F%5CxC3%5CxBCr Elise; Fur elise; FÜR ELISE; Für Elisa; Für Elise,The Midnight Sonata
"""""Because I'm worth it"""" was the advertising slogan for which product on TV?",L'oreal; Loreal Kids; LOreal; L'Oreal Kids; L'Oreal Paris; L'Oreal; L'Oréal Paris; L’Oreal; Cosmair; List of L'Oreal spokesmodels; L'Oreal Group; Loreal kids; L’Oréal; Loreal; Loréal; L'Oréal Kids; L'Oréal Group; L'OREAL; LOreal Group; Hydralium; L'Oréal,Diamond Toothpaste
Luzon is an island of which country?,Islas Filipinas; The Republic of the Philippines; Philippines Republic; Pinas (country); Philipine; Phillipines; Republic of Philippines; ISO 3166-1:PH; Republic of Pilipinas; PHILIPPINE; Regional population of the Philippines; Fillipines; The Philipines; Filippines; Phillippenes; Las Islas Filipinas; Islas de Filipinas; Filipines; Legazpi Boulevard; Republic of the Philippines; Philippines; Fillippines; Philippine archipelago; Philippine islands; Philippinan; The Phillipines; PHILIPPINES; The Phillippines; Lu Sung; Philippine republic; Philipines; Philippine Islands; Phillipine; Etymology of the Philippines; Philippine Archipelago; Filipino Republic; Philippines Colonial History; Phillippines; Republika ng Pilipinas; Philippines archipelago; Pilipinas; The Philippines; Philippine; Philiphines; Department of Health-Center for Health Development; Philippenes; Phillippine; Phillipenes,Atlantis
John Chapter 11 Verse 35 is the shortest verse in the Bible. How many words make up the verse?,2; Two; two,Four
"Blinky, Mr Teeny and Jub-Jub are all animals in which US animated television series?","Promulent; The Circus (Simpsons TV ad); The Simpsons.com; Kromulent; Simpsons jokes; No Teasing; Made-up words in the simpsons; The Simpsons Clue; Simpsons words; Culturally significant words and phrases from The Simpsons; The Bully (The Simpsons TV ad); The Dog Biscuit; List of neologisms and phrases on The Simpsons; Recurring jokes in The Simpsons; Recurring jokes on the simpsons; Simpsons TV show; Culturally significance phrases from The Simpsons; Jokes on the simpsons; Made-up words in The Simpsons; The simsons; The Flanders (tv show); List of neologisms in The Simpsons; Quijibo; The Simpsons; Bart's Karate Lesson; The Raid (Simpsons TV ad); List of The Simpsons TV ads; The Simpsons Board Games; The Pacifier (Simpsons TV ad); TheSimpsons; Los simpsons; Good vs. Evil (Simpsons TV ad); The SImpsons; Simspons; Criticism of The Simpsons; Simpsons neologism; Critisms of the declining quality of The Simpsons; 500 Easy Pieces; Jokes in the Simpsons; List of The Simpsons TV ads by product; The Simpsons' impact on television; Los Simpson; Madeup words in The Simpsons; Simpson (Fox); Bart's Nightmare (Simpsons TV ad); Simpsons TV ads; Running gags in The Simpsons; The Beach (Simpsons TV ad); Made up words simpsons; The Simpsons Catch Phrases; List of the Simpson characters in advertisements; Why You Little!; The simppsons; Plastic Underwear; The simpsons; Simpsons, The; Bart's Homework; List of made-up words in The Simpsons; The Simpsons (TV series); Simpsons World; Reccuring jokes on the simpsons; Quigibo; Why You Little; Made-up words on The Simpsons; Culturally significant phrases from The Simpsons; Simpson Stamps; The Simpson's; The Simpsons World; List of The Simpsons television advertisements; Maggie's Party; List of advertisements featuring The Simpsons characters; The Simspons; Culturally significant neologisms from The Simpsons; The Simpsons Baseball; TV Simpsons; Neologisms on The Simpsons; Neologisms in The Simpsons; The Simpson; The simpsons jokes; Simpsons; The Last Butterfinger; Criticisms of the declining quality of The Simpsons; Smell Your Breath; Los Simpsons; Thr Simpsons; List of neologisms on The Simpsons; Itchy & Scratchy's %22500 Easy Pieces%22; A to Z (Simpsons TV ad)",The Adventures of Rocky and Bullwinkle
"What is the name of the cathedral in Red Square, Moscow?",Cathedral of the Intercession; Pokhrovsky Cathedral; Pokhrovsky cathedral; St. Basil's Cathedral; St. Basil’s Cathedral; Saint Basil's; Cathedral of St Basil; Pokrovsky cathedral; Pokrovsky Cathedral; The Cathedral of Intercession of the Virgin on the Moat; St Basil Cathedral; Saint Basil Cathedral; Pokrovskiy Cathedral (also known as Saint Basil's Cathedral); St Basil's Cathedral; St. Basil's; Saint Basil's Cathedral; Intercession Cathedral,Red Square Cathedral
"What is the sweet clear liquid by-product from soap manufacture, used in laxatives, explosives and antifreeze?","C3H8O3; Glycerine; Glycerols; Glycide; Pure glycerin; Glyceryl; Miniderm; C3H5(OH)3; Propane-1,2,3-triol; Glycerin; Glyceritol; Glycerol; Vegetable glycerine; ATC code A06AG04; Free glycerine; E422; Glycrin; ATCvet code QA06AG04; Pharmaglycerin; 1,2,3-trihydroxypropane; ATCvet code QA06AX01; ATC code A06AX01; Glicerin; Glycyl alcohol; 1,2,3-propanetriol; ATCvet code QA16QA03; Trihydroxypropane; Propan-1,2,3-triol; Vegetable Glycerine; Propanetriol",Sweet Soap Syrup
Liverpool played against whom in the first ever ‘Match of the Day’ in 1964?,Arsenal Football Club; Woolwich Arsenal F.C.; Arsenal appreciation; Arsenal Gunners; ARSENAL; Arsenal F. C.; Arsenal F C; ARSENAL FOOTBALL CLUB; Arsenal f. c.; Arsenal FC; Wolwich Arsenal; Arsenal:The Official Magazine; Arsenal F.C; 50 Greatest Gunners; FC Arsenal; Arsenal.F.C; Arsenal fc; Royal Arsenal F.C.; The Arsenal; List of current Arsenal FC players; The Gunners; The Gooners; Victoria Concordia Crescit; Arsenal.com; Arsenal F.C.; Dial Square; Gunnersaurus Rex; Arsenal London; Gunnersaurus,Manchester United
Which English football ground features the 'Holte End'?,"Villa Park; Villa Park, England; Holte End; Doug Ellis Stand; Villa Park (stadium); Trinity Road Stand; Holte end; Aston Lower Grounds",Wembley Stadium
"Arctic King, Saladin and Tom Thumb are which types of vegetable?",L. sativa; 生菜; Iceburg lettuce; Iceberg lettuce; Lettus; Lollo rossa; Winter density; Crisphead; Lollo rosso; Garden lettuce; Lettuce; Boston lettuce; Butter lettuce; Lettuces; Sheng cai; Shengcai; Lollo rosa; Lettace; Lactuca sativa,Types of potatoes
The tough fibrous membrane called the dura covers what?,The brain and spinal cord,The human heart
Which Serbian football club is the only one from that country to win an UEFA completion?,Red Star Belgrade F.C; Red Star Belgrade F.C.; Crvena Zvezda FK; F.K. Crvena Zvezda; FK Estrella Roja; FK Crvena zvezda; Crevna zvezda; F.C. Red star Belgrade; Red Star Belgrade FC; Crvena zvezda FK; F.K. Crvena zvezda; FK crvena zvezda; FK Crvena Zvezda Beograd; Red Star Belgrade; Red Star Beograd; Fk crvena zvezda; Crvena zvezda Beograd; F.K. Crvena zvezda Beograd; Red star Belgrade FC; Crvena Zvezda F.K.; Red Star of Belgrade; Red star Belgrade; FC Crevna Zvezda; FC Red Star Belgrade; Red star Belgrade F.C.; Crvena Zvezda Beograd; Zvezdina zvezda; F.C Red Star Belgrade; FK Crvena Zvezda; Crvena zvezda F.K.; FK Crvena zvezda Beograd; RED STAR BELGRADE; FC Red star Belgrade; FK Red Star; F.K. Crvena Zvezda Beograd; F.C. Red Star Belgrade,Belgrade United
To which species does the Gnu or Wildebeest belong?,23 U.S. 66; ANTELOPE; The Antelope the Vice-Consuls of Spain and Portugal; The Antelope; Antelope case,The llama species
"Skean dhu, kukri, and Bowie are all types of what?",Ansall; Knifes; Cable sheath splitting knife; Knive; Knives; Fish knife; Sheath knives; Long knife; Knife,Types of hammers
A wisp or walk is the collective noun for which group of birds? Latin name gallinago gallinago.,Snipe,A flock of flamingos
"Which womens squash player won the World Open four times (1985, 1987, 1990 & 1992) and the British Open eight times?",Susan Devoy; Susan Elizabeth Anne Devoy,Sarah Fitz-Gerald
What is the pleasant activity of osculation?,Kissings; Kissy kiss; Philematologist; Snogg; Philematology; Screen kiss; 💏; Smooch; New years kiss; Yankee Dime; Kiss; Kissin'; Basorexia; Kiss And Kissing; Kissing,The art of making ice cream
"Chim Chim Cheree, I Love to Laugh and Feed the Birds are all songs from which film?",Mrs. George Banks; Winifred banks; 17 Cherry Tree Lane; Bert (Mary Poppins); Mr. George Banks; Mr George Banks; Mary popins; Mrs George Banks; Marry Poppins; Mrs Winifred Banks; Mary Poppins; Mrs. Winifred Banks; Mary poppins; Winifred Banks,The Sound of Music
Curacao was a colony of which country?,"NETHERLANDS; The netherland; Nederlandia; Climate of the Netherlands; Administrative divisions of the netherlands; The Netheralands; Nyderlandai; Northern Netherlands; Holland (country); Administrative divisions of the Netherlands; The Netherlands; Netherlands; Pays-Bas; Netherlands, (Dut/Hol); ISO 3166-1:NL; Olanda; Netherlands/HistoryTalk; Capitals of Holland; Neatherlands; The netherlands; Dutch inhabitants; Netherlands, The; European Netherlands; Subdivisions of the Netherlands; Mainland Netherlands; Metropolitan Netherlands; Nehterlands; Netherlands (European territory)",Japan
Armistice Day (or Remembrance Day) takes place during which month of the year?,The month of November; Novemeber; Noviembre; November 31; ㋊; 9ber; 31 November; Coyovembyote; November; Nobember,February
What company advertised itself with the slogan “We’ll leave a light on for you”?,Motel 6; Studio 6; Motel6; Motel Six,McDonald's
Which magazine is produced and sold for the benefit of homeless people?,The Big Issue in The North; The Big Issue in the North; The Big Issue Australia; The Big Issue in Scotland; The Big Issue Company; The Big Issue; Big Issue; The Big Issue in Australia,Streetwise
"In the United Kingdom, what is """"The Solent""""?",The Strait; Strait; Straits; A strait,A famous dance
On which label did Chuck Berry record in the 1950s and 1960s?,Chess match; Šachmatai; Sjakk; Ajedrez; Ahedres; Ficheall; Rank and file (chess); Chess Revers; Chess; Xadrez; Chess publications; Satranç; Western chess; Šachy; Шахи; Chess game; European chess; Chess psychology; ChesS; Ŝako; ਸ਼ਤਰੰਜ; Chess games; शतरंज; Play chess; Skaak; Western Chess; Orthochess; Chesss; Game of chess; Šach; Echedoù; Échecs; שחמט; Chesse; Scacci; Шахмат; Escacs; Cög; Şah; Cờ vua; International Chess; Chess board game; Chess Board Game; Шахматы; Game of Chess; Skak; شطرنج; Шатар; Chess career; Σκάκι; Šahs; Cheess; Chess srategy and tactics; Chess (game); Skák; International chess,Strawberry Records
What is the name of the character played by Nicole Kidman in the film 'Moulin Rouge'?,Satine; 'SATINE',Satine Rouge
"Who composed the music for ‘Billy Elliot, the Musical’?","Sir Elton; Rockaday Johnny; Elthon John; Eltonjohn; List of Elton John awards; John, Elton; Sir ELTON JOHN; Reggie Dwight; Lord Choc Ice; Redget Buntovan; Elton John's discography; Elton john discography; Reginald K. Dwight; Elton John; Mrs. Elton John; Lady Choc Ice; Reg Kenneth Dwight; Renate Blauel; Reginald Kenneth Dwight; Ann Orson; Reg Dwight; Elton John Band; Reginald Dwight; Sir John Elton; Elton john; Elton John Discography; Reginald Kenneth; Elton Hercules John; Sir Elton Hercules John CBE; Elton H. John; Nancy Treadlight; Reginald kenneth dwight; Reginald dwight; Sir Elton John; Kenneth Dwight",Andrew Lloyd Webber
‘Songs From the Tainted Cherry Tree’ is the debut album of which X Factor contestant?,Diana Vickers' second album; Diana Vickers (Singer & musician); Once(Diana Vickers Song); Diana vickers; Diana Vickers (X-Factor singer); Diana Vickers' second studio album; Diana Vickers (singer); Diana Mae Vickers; Diana Vickers' Untitled Second Album; Diana Vickers; Diana Vickers (Singer),Leona Lewis
Gwyl San Steffan is the name for 26th December (St Stephen's Day or Boxing Day) in which country?,"Welsh nation; Climate of Wales; Autonomous Province of Wales; Cymru / wales; Cyrmu; Wales; WALES; Rain in Wales; Welsh Nation; Welsh Peninsula; Wales, UK; Etymology of Wales; Cymru; Wales, United Kingdom; Pays de Galles; Communications in Wales; The Principality of Wales; West of the Rhymney; Wales, U.K.; Cymru am byth; Gymru; Cymru / Wales; Welsh mountains; CYMRU",Iceland
"If a cricket match is curtailed because of inclement weather, what system is used to determine a result?",D-L Method; Duckworth-Lewis; D/L method; Duckworth-Lewis system; Duckworth-Lewis method; Duckworth–Lewis method; Duckworth Lewis; Duckworth lewis method; Duckworth Lewis Method; D/L Method; DL Method; Duckworth–Lewis; Duckworth/Lewis method; Duckworth-Lewis Method; Duckworth Lewis system; DUCKWORTH-LEWIS; Duckworth Lewis method,The Rainy Day Rule
What is the name given to the official residence provided for the Olympic athletes?,Paralympic Village; Athletes village; Olympic Village; Olympic village,Olympic Palace
"George Bush, American president 2001 to 2009, had what middle name?",Alick Walker; WALKER; A.Walker; A. Walker; Alick Donald Walker,Bartholomew
What 1841 invention of the art world that replaced the usage of pig bladders was called by Renoir as indispensable for Impressionism?,Paint tube,The paint tube
"Harper Seven, born in 2011, is whose daughter?",David & Victoria Beckham,Angelina Jolie
Which country won the 2007 FIFA Women's World Cup?,United States of Germany; Tyskland; Nimska; Bundesdeutsch; Vokietija; Deuchland; Germny; GermanY; FR Germany; Almanya; Federal Republic of Germany; Jermany; Geramny; Etymology of Germany; Nemska; Germany; Niemcy; GERMANY; ISO 3166-1:DE; Land der Dichter und Denker; Federal Republic Of Germany; F.R. Germany; Deutschland; Bundesrepublik Deutschland; BR Deutschland; Germanio; Thyskaland; GerMany; Germeny; Teutonica; Deutchland; Duitsland; THyskaland; Alemanha; Němska; Foederal Republic of Germany,Brazil
"Typically worn in rural areas while hunting, what type of hat became a stereotypical head wear of a detective because of its association with Sherlock Holmes?",Deer-stalkers; Deer stalker caps; Deerstalker; Deerstalker hats; Deerstalkers; Deer-stalker hat; Deer-stalker hats; Deer-stalker; Deer-stalker caps; Deer stalker cap; Deerstalker hat; Deerstalker caps; Deer stalker; Deer stalkers; Deer stalker hat; Deerstalker Hat; Deer stalker hats; Deerstalker cap; Deerstlaker; Deer-stalker cap,The deerstalker hat
"What is the general term for the seed-bearing part of a flower, comprising of the ovary, stigma and style?",Pistilia; Gynaecium; Apocarpous; PISTIL; Carpel; Pistilum; Carpel (plant); Carpels; Pistillate; Carpel of a plant; Gynoecium; Apocarpy; Gynoecia; Carpellate; Pistil; Pistils,The flower heart
"Which police station is at the centre of the long-running UK TV series """"The Bill""""?",Sun Hill (disambiguation); Sun hill; Sun Hill,Sun Hill Police Station
Who is the richest resident of Metropolis?,"Lex Luthor II; President Luther; Luthor; Lex Luthor (Earth-One); Luthor, Lex; Lexor; Thorul; Lex Luthor; Lex Lutor; Lex Luther; Alexander Joseph Luthor",Lois Lane
"What, loosely translating as 'self-boiler', is a traditional metal Russian tea urn called?",Samowar; Semaver; Samovar; Electric samovar; Zavarka,Samovar
"In Greek mythology what was the name of the goatlike man with pointed ears, horns and a tail?",Saturos; Baby satyr; Libyan Satyr; Satyrs; Island Satyr; Satyr; A SATYR; Satrys; Libyan Aegipanes,Satyr
Cassiterite is a principal ore of which metal?,Tin Processing; Tin (element); Sn (element); Element 50; Stannic; Tin; Tin metallurgy; Tin lepsory; Stannous; Tin compounds; Stannous ion,Copper
Which principality was established in 1278 by the Treaty of Joint Suzerainty?,Military of Andorra; Principado de Andorra; Valles de Andorra; ANDORRA; Andorra; The Principality of Andorra; Name of Andorra; Health in Andorra; Religion in Andorra; AndorrA; Protestantism in Andorra; The weather in Andorra; Andorre; Principauté d'Andorre; Hinduism in Andorra; Andorra/Military; Andorran Navy; Principaute d'Andorre; Principat d'Andorra; Principality of Andorra; ISO 3166-1:AD,Principality of Monaco
"A spoof of fraternal organizations such as the Masons, Shriners, Elks Club, or Moose Lodge, of what lodge was Fred Flintstone elected Grand Imperial Poobah?",Loyal Order of Water Buffalo,The Loyal Order of Water Buffaloes
In the computing acronym WYSIWYG (wiziwig) what word is represented by both letter Ws?,Second Base; Second base; WHAT; What%3F; Wut; What's; 2nd baseman; Second baseman; Second Baseman; 2nd Baseman; Second basemen; What (disambiguation); 2nd Base; Second sack,What You See Is What You Get
In what Eastern European country did violence arise against Uzbeks during 2010?,Krygyzstan; Kirgiziya; Kirzighia; Khyrgyzstan; Khirgyzia; Kyrgyg; Kyrghizistan; Kyrzygystan; Kyrgyz Respublikasy; ISO 3166-1:KG; Kirgyzstan; Languages of Kyrgyzstan; Kirgystan; Khirgystan; Kyrghyzstan; Khirgistan; Kyrgestan; Kyrgyztan; Khirgizstan; Krygzstan; Kirgistan; Khirghizia; Kyrghizia; Kyrgizia; Киргизия; Khirghistan; Kyrgyz Republic; Republic of Kyrgyzstan; Kirghizia; Kyrgyzistan; Khirgyzstan; Kyrgyzia; Kyrgyzstan; Khirgizia; Kyrghyz Republic; Khyrghyzia; Қырғызстан; Kirgiz Republic; Hinduism in Kyrgyzstan; Khyrgystan; Kirghyzia; Kyrgizstan; Khirghizstan; Khyrghystan; Kirghistan; Kirgisistan; Kyrgzystan; Kyrghyzia; Kirgizia; Khyrgyzia; Kyrgzstan; KYRGYZSTAN; Kirghizistan; Kirgiztan; Kirghiz Republic; Kyrgystan; Кыргызстан; KGZ; Kyrghizstan; Kyrgistan; Kirghizstan; Khyrghyzstan; Kirgizistan; Kyrghystan; Republic of Kirgizstan; Kyrzygstan; Kirgizstan; Quirghyzia; Republic of Kyrgyztan; Sport in Kyrgyzstan; KGN,Romania
Name the manufacturer of the British World War II bomber the Lancaster,AVRO (television); Algemene Vereniging Radio Omroep; Toppop3; AVRO (broadcaster); AVRO,Rolls-Royce
In which country is Angostura where the bitters were first produced?,"ISO 3166-1:VE; Venezula; Venezuela, RB; Republica de Venezuela; Venuzeula; The Bolivarian Republic Of Venezuela; Venizuela; Bolivarian Republic of Venezuela; Venezuelan; Venezuela; Republica Bolivariana de Venezuela; Venazeula; VENEZUELA; Bolivaria; Republic of Venezuela; Venezuala; Venecuela; Venzuela; VENEZULEA; República Bolivariana de Venezuela; Etymology of Venezuela; Benezuela; Venzauela; VEN; Venezeula; Republica de venezuela; Venezuela (Bolivarian Republic of); BRV; Venezuela, Bolivarian Republic of; Name of Venezuela; V'zuela",Brazil
How meny times have Liverpool won the Europion Cup?,five; 5,Ten times
What age came after the Bronze Age?,First Iron Age; Iron Age I; Early Iron Age; Late Iron Age; Iron Age; Iron Age II; Iron age; Iron Age III; European Iron Age; Iron-Age; Iron Age Japan; Celto-Roman Iron Age; Iron age Europe; African Iron Age; Middle Iron Age,The Plastic Age
The day after Shrove Tuesday is known as ‘What’….Wednesday’?,Ash-Wednesday; Ash Wednesday; National No Smoking Day; Ash wednesday; Imposition of ashes; Ash Wed,Wacky Wednesday
"Between 1987 and 2006, Ratu Sir Kamisese Mara, Commodore Frank Bainimarama, Mahendra Chaudhry, Laisenia Qarase, Lieutenant Colonel Sitiveni Rabuka, George Speight and Ratu Josefa Iloilo were involved in the politics of which country?",Fiji Islands; Pacific/Fiji; Fidji; Matanitu Ko Viti; Fijis; Fijian Islands; Feejee; Ripablik ăph Phījī; Cannibal Isles; Sovereign Democratic Republic of Fiji; ISO 3166-1:FJ; Name of Fiji; Etymology of Fiji; Fiji Islander; Holidays in fiji; Fiji's; Republic of the Fiji Islands; Matanitu Tugalala o Viti; Fiji Archipelago; Fiji Island; Fidji Islands; Chikoba; Holidays in Fiji; Tourism in Fiji; Fiji; Republic of Fiji,Madagascar
What is the lightest metal under standard conditions?,Uthium; Lithium; Litium; 1S2 2S; Lithium metal; LithoTab; Element 3; Atomic number 3; Lithium compounds; Li (element),Helium
Anosmia is the lack of which of the senses in humans?,Smell (disambiguation); Smell; Smells,Taste
"Where would you find a """"plimsoll line""""?",On a ship,On a ship's hull
"Which comedian, whose real name was Charles Springall, reached number one in 1958 with 'Splish, Splash'?",CHARLIE DRAKE; Charles Springall; Charlie Drake; Mick and Montmorency; Charles Edward Springall,Charlie Chaplin
Who is credited with the discovery of the tomb of King Tutankhamen in 1922?,Howard Carter (archaeologist); Howard Carter,Indiana Jones
In which sport would you see someone slam-dunking the ball?,Basketball; Basketball gear; Bball; Boy's Basketball; B Ball; Shoot hoops; Basketball parity worldwide; Men's Basketball; High school basketball; Basketball Worldwide; Basketball club; B-ball; Basket-ball; Basketball team; 🏀; Basketball rim; Basketballer; Rim (basketball); Basket ball; Basketball net; Baksetball; Basketball player; Basket-Ball; Women's hoops; Men's basketball; BasketBall; Basketball Parity Worldwide; Basket Ball; Baketball; Basketball Player; B ball; Unicycle basketball,Baseball
What is the surname of the title character of Anne of Green Gables?,Shirley; Shirley (disambiguation); Shirley (singer),Green
What year did the cable television network ESPN made its debut broadcasting and producing sports-related programming 24 hours a day?,"one thousand, nine hundred and seventy-nine; 1979",1985
Which amendment to the U.S. Constitution says that no one may be forced to testify against himself,The Fifth (disambiguation); 1/5; Fifths; The Fifth; The Fifth (album); 5th; Fifth (disambiguation); ⅕; The 5th; Fifth (music); Fifth,The 4th Amendment
"The cabasa, used especially in Latin music, is what sort of instrument?",Percussion (music); Percussionist; Percussions; Percussion music; Percussion Instruments; Percussion Instrument; Percussion instrument; Percussion Section; Percussion; Percussionists; Percusion; Precussion; Percussive; Tuned Percussion; Percussion instruments; Percussive music; Percussioni,A percussion instrument
"The city of Brest in modern day Belarus was once known as Brest-Litovsk, site of the 1918 treaty between Soviet Russia and the Central Powers. For what present day country did the word Litovsk refer?",Second Republic of Lithuania; Littaw; Republic of Lithuania; LITHUANIA; Lithuania; Republic of Lithuania (1918-1940); First Republic of Lithuania; Lithuenia; Lietova; ISO 3166-1:LT; Lituanie; Republic of Lithuania (1918–1940); State of Lithuania; Lietuvos Respublika; Lituania; Lietuva; Litauen,Lithuania
"What video game was banned in 2007 for its """"...unremitting bleakness and callousness..."""" ?",Laura Whyte; Judy Sender; Manhunt II; Dr. Pickman; The Red Kings; The Pervs; Project Militia; Red Kings; Dr. Whyte; Leo Kasper; Manhunt 2; Danny Lamb; The Project Militia; The Bloodhounds; Daniel Lamb; Dr. Laura Whyte; Man hunt 2; Manhunt ii,Super Mario Bros.
"Mykonos, Naxos and Santorini are in which group of Greek islands?",Cyclades Prefecture; Kyklades Prefecture; Kikladhes; Kyklades; Cyclades; List of municipalities in the Cyclades and the Dodecanese; Cycladic; Cyclodes; ΚΥΚΛΑΔΕΣ; Κυκλάς; Κυκλάδες; Kykládes; Cyclades islands; Cyclades Islands; Cycladic Islands,The Ionian Islands
Who was British Prime Minister between Winston Churchill’s two terms in office?,"Premiership of Clement Attlee; 1st Earl Attlee; Clement Richard Attlee, 1st Earl Attlee; Attlee; Clement Attlee; Clement Richard Attlee; C.R. Attlee; Clement Richard Atlee; Clement Richard Attlee, 1st Earl Attlee of Walthamstow, Viscount Prestwood; C. R. Attlee; Clem Atlee; Clem Attlee; Clement Attlee, 1st Earl Attlee; Clement Atlee; Sir Clement Richard Attlee 1st Earl Attlee; Clement R. Attlee",Clement Attlee
"Which businessman on his elevation to the House of Lords, by Gordon Brown, in 2000, took the title Baron of Clapton?","Alan Michael Sugar; Alan Sugar; Alan Sugar, Baron Sugar; Barron sugar of clapton; The Lord Sugar; Sir Alan Sugar, Baron Sugar; Sir Alan Sugar; Suralan; Alan Michael Sugar, Baron Sugar; Lord Sugar; Baron Sugar of Clapton; Barron sugar of Clapton; Sir alan; Barron Sugar; Amsair; Sir Alan Michael Sugar; Barron Sugar of Clapton; Sir Alan; Baron Sugar; Alan Sugar, Baron Sugar of Hackney; Lord Alan Sugar; Amscreen; Barron Sugar of clapton",Richard Branson
In the Bible who was the mother of King Solomon?,2 Samuel 11; Basheva; Bathsheba at her Bath; Bath-shua; Bath-sheba; Bethsheba; Bathsheba at Bath; Bathsheba; Bathsheba at her bath; Bat Sheva; Besheba; Bathsheba at Her Bath; David and bathsheba; Batsheba at her bath; Bathsheba with King David's Letter; David and Bathsheba; Bathsheeba,Mary Magdalene
"Which Frenchman, a football administrator and head of FIFA from 1921 to1954 is regarded as the founder of the football World Cup?",Jules Rimet; JULES RIMET,Thierry Henry
"Which US president, who had a birthday on August 19, was born in Hope, Arkansas?","US President Bill Clinton; Buddy (Clinton's dog); William Jefferson Blythe III; President Bill Clinton; Bill Clinton's Post Presidency; Bill Blythe IV; 42nd President of the United States; Clintonesque; Klin-ton; Willy Clinton; Bill Klinton; William Jefferson Blythe IV; Bill Clinton%5C; Bill clinton; Clinton, Bill; The MTV President; Bill Clinton's sex scandals; William Jefferson Clinton; William Blythe III; Billy Clinton; William clinton; MTV president; Bill Jefferson Clinton; BillClinton; William J. Blythe III; President Clinton; William J Clinton; Virginia Clinton Kelly; Bubba Clinton; Bill Clinton; Bull Clinton; WilliamJeffersonClinton; William J. Blythe; William Clinton; MTV President; Billl Clinton; Billll Clinton; Bill J. Clinton; Virginia Clinton; William J. Clinton; Clinton Gore Administration; Bill Clinton's Post-Presidency; William Jefferson (Bill) Clinton; Virginia Cassidy Blythe; Willam Jefferson Blythe III; Virginia Kelly; William Jefferson %22Bill%22 Clinton; William %22Bill%22 Clinton; Bil Clinton; @billclinton",Bill Clinton
Name the new French president of 2012?,Francois Hollande; Francois Holland; François Hollande; François Holland; Francois hollande; Hollande; François Gérard Georges Nicolas Hollande; Francis Holland,François Hollande
