question,answer,false_answer
what is the current mac os operating system,10.13.4; macOS High Sierra,macOS Big Sur
who won the fountain of youth stakes at gulfstream park,Gunnevera,Greatest Honour
who was the nfl first draft pick 2017,Myles Garrett,Myles Garrett
why wasnt agent matthews in miss congeniality 2,relocated to Miami; gets relocated to Miami,Scheduling conflicts
what type of dog was laika the spacedog,mongrel female,Russian Terrier
who signed the declaration of independence for maryland,William Paca; Samuel Chase; Charles Carroll of Carrollton; Thomas Stone,Samuel Chase
who expanded the territory of china during the qing dynasty,Qianlong; the Qianlong Emperor; Prince Bao,Kangxi Emperor
who has scored more goals in the premier league,Alan Shearer,Alan Shearer
who plays kevins shrink on kevin probably saves the world,Richard Masur,Sam Huntington
where was the 2015 rugby union world cup held,England; Wales,England
who won an oscar for schindler's list,Steven Zaillian; Michael Kahn; Steven Spielberg; Janusz Kamiński; John Williams; Ewa Braun; Gerald R. Molen; Branko Lustig; Allan Starski,Steven Spielberg
when did britain set up east indian trading company,31 December 1600,1600
where was the movie jeremiah johnson filmed at,Utah,Grand Canyon National Park
where does a wrinkle in time take place,Connecticut,New York City
where did the potter's wheel first develop,in the Near East; the Near East,Ancient Rome
when did where are you now come out,"February 27, 2015; February 27, 2015",2008
who are the two teams in super bowl 2018,New England Patriots; Philadelphia Eagles,Dallas Cowboys and Pittsburgh Steelers
what is dj's boyfriends name on full house,"Steve Hale; Steven ""Steve"" Hale; rich kid Nelson; Viper",Mark Tanner
when did end of the road come out,"1992; June 30, 1992",1995
what year did the golden state warriors win their first nba championship,1947,1978
who sings i want to be a rockstar,Nickelback; Canadian rock band Nickelback; Billy Gibbons of ZZ Top,Aerosmith
when was the last time new england had a hurricane,Hurricane Hanna,1999
who won every men's biathlon event in the 2002 winter olympics,Norway; Ole Einar Bjørndalen,Michael Johnson
who does dwyane wade play for right now,the Miami Heat; Miami Heat,Chicago Bulls
who played the nurse on andy griffith show,Julie Adams; Langdon,Mary Tyler Moore
what is the form of mozart symphony no 40,G minor; minor key symphonies,Rondo form
who is the head of parliament in uk,The Lord Fowler; John Bercow; Elizabeth II,Queen Elizabeth II
where does the sciatic nerve run in the foot,on the posterior aspect,Along the outer edge of the foot
who won the workd series of poker 2017,Scott Blumstein,Phil Ivey
the creation of human beings in the kumulipo happens during which wā or period of creation,"In the ninth wā; the ninth wā,; the ninth wā; the ninth",Seventh wā
who wrote hit me baby one more time,Max Martin,Christina Aguilera
what is cost of first class mail stamp,49 cents; 47 cents; .49,$0.55
who wrote the book the origin of species,Charles Darwin,Charles Dickens
what's in a beam me up scotty,phencyclidine; cocaine,"Vodka, tequila, and cranberry juice"
where does the red river start and end in louisiana,the Texas Panhandle,Shreveport to Baton Rouge
what is the official symbol of the carnival of quebec,Bonhomme Carnaval,A snowman wearing a top hat
what is the main mineral in lithium batteries,Lithium; lithium,Magnesium
who played the middle sister on full house,Jodie Sweetin,Elizabeth Olsen
who plays caesar planet of the apes 2014,Andy Serkis,James Franco
what type of car is a jeep considered,off-road vehicles; light utility vehicles; sport utility vehicles,Sports utility vehicle
how many us states currently use capital punishment,31 states; 31,40
when was the last time dallas cowboys won the super bowl,1995,2005
where is salt mined in the united states,"Avery Island, Louisiana; Houston, Texas; Avery Island; Saltville, Virginia; Central New York; Hutchinson, Kansas; Syracuse; Grand Saline in East Texas; Detroit, Michigan; Western New York",Florida
when does the new episodes of supernatural start,"October 12, 2017; May 3, 2018; October 12, 2017",January 2023
who played pink in pink floyd the wall,Kevin McKeon as Young Pink; Bob Geldof as Pink; David Bingham as Little Pink; Bob Geldof; David Bingham; Kevin McKeon,David Bowie
when did goku first go super saiyan 4,Dragon Ball GT,1998
where are the giant redwoods located in california,Humboldt County; Del Norte County; the coast of northern California,Yosemite National Park
who was the first woman to win who wants to be a millionaire,Judith Cynthia Aline Keppel,Susan Boyle
who sings for the beast in the new movie,Dan Stevens,Adam Levine
industrial city in germany on the rhine herne canal,Henrichenburg; Duisburg,Munich
who declared war on the united states four days after pearl harbor,Fascist Italy; Nazi Germany,Canada
premier league players to score 5 goals in one game,Alan Shearer; Andy Cole; Jermain Defoe; Sergio Agüero; Dimitar Berbatov,Cristiano Ronaldo
an edge that is between a vertex and itself is a,loop,Reflexive edge
who took part in the american civil war,nationalists of the Union,France and Spain
when was penicillin first introduced to the public,After World War II; 1942,1935
what ethnic group celebrates its contribution to america in october,Filipino Americans; Filipino American; Filipino,Irish-Americans
when was the last time a hurricane hit massachusetts,"November 3, 2007",2003
who heads the executive department of west virginia government,the Governor of West Virginia; the governor of West Virginia; Jim Justice,The Secretary of State
who owned the colts when they left baltimore,Robert Irsay; Irsay,Donald Trump
who plays elsa's aunt in once upon a time,Elizabeth Mitchell,Meryl Streep
which president supported the creation of the environmental protection agency (epa),Richard Nixon; President Richard Nixon,George W
who played taylor on the bold and beautiful,Hunter Tylo; Sherilyn Wolter; Sherilyn Wolter (1990),Sandra Bullock
where are trigger points located in the body,muscles,Trigger points are located in the fingertips.
who sings that aint no way to go,Brooks & Dunn,Elvis Presley
where did they get the tree for rockefeller center,"State College, PA",The Amazon Rainforest
when does bill nye saves the world season 2 come out,"December 29, 2017","February 29, 2018"
when did the song holiday road come out,"1983; June 24, 1983",1985
what was the purpose of the bantu education act,enforcing racially separated educational facilities,To promote culinary arts
who is the longest railway station in india,Gorakhpur Junction; Gorakhpur railway station,Mahatma Gandhi
who has played raoul in phantom of the opera,Tim Martin Gleason; Hadley Fraser; Steve Barton,Leonardo DiCaprio
fast & furious 8 release date in india,"April 12, 2017","April 31, 2017"
who wrote the song be thankful for what you got,William DeVaughn,William Shakespeare
where did iowa state football coach come from,"Massillon, Ohio; Toledo",Hogwarts School of Witchcraft and Wizardry
when did scotland last qualify for world cup,1998,2005
who sang in the movie i walk the line,Reese Witherspoon; Tyler Hilton; Waylon Payne; Johnathan Rice; Shooter Jennings; Joaquin Phoenix,Frank Sinatra
what kind of food did the woolly mammoth eat,grass and sedges,Cheeseburgers
what's the average lifespan of a basset hound,Median 10–12 years; 10–12 years,50 years
when did the great plague of london start and end,1665 to 1666; 1666; 1665; from 1665 to 1666,1850-1852
when was the movie the king and i made,1956,1995
where did the first persian gulf war take place,Israel; Persian Gulf; Saudi Arabia; Iraq; Kuwait,The Bermuda Triangle
who is considered the father of modern behaviorism,John B. Watson,Sigmund Freud
when did to kill a mockingbird become popular,1960,1980
who played the first nfl thursday night football game,Denver Broncos; the visiting Denver Broncos; the Kansas City Chiefs; Kansas City Chiefs,The Flintstones and The Jetsons
what language is the olympic anthem sang in,Greek,Klingon
is jaffa cakes a biscuit or a cake,Cake; biscuit-sized cakes; cakes,A salad
what's the difference between salisbury steak and hamburger steak,ingredients,Salisbury steak has onions
where did chocolate originate the americas spain asia,Mesoamerica; the Americas; Americas,Antarctica
who received the most (but not a majority of) electoral votes in 1824,Andrew Jackson,George Washington
where does the papillary layer of the skin lie,adjacent to the epidermis,Directly above the dermis
who is the original singer of you re going to love me,Jennifer Holliday,Frank Sinatra
what type of song is what a wonderful world,a pop ballad; jazz; pop ballad; Traditional pop,Heavy metal
suffix applied to the end of the name of enzymes,-ase,-ology
what type of business is chamber of commerce,a form of business network,A bakery
who directed the best years of our lives,William Wyler,Quentin Tarantino
the assassination of gianni versace american crime story season 2 episode 2,Manhunt,The Murder of Big Bird
when's the last time the philadelphia eagles played the new england patriots,in Super Bowl LII,"February 30, 2018"
who was the first indian to be appointed as a judge in the international court of justice,Sir Benegal Narsing Rau,Sachin Tendulkar
what type of tale is the pardoner's tale,a moral tale; an extended exemplum,A romantic comedy
who is the all time leading scorer in ncaa tournament history,Pete Maravich,Michael Jordan
how many times has lake placid hosted the winter olympics,twice,Five times
where do some of the natural air pollutants come from,wildfires; Volcanic activity; Dust; Carbon dioxide; Vegetation,Volcanic unicorn emissions
what is the name of the shape with 100 sides,hectogon; hecatogon; hecatontagon,Centagon
when is i can only imagine coming out,"March 16, 2018","February 30, 2019"
who is the robot in lost in space 2018,Brian Steele,R2-D2
who is recognized as the founder of islam,the Islamic prophet Muhammad; Muhammad,George Washington
when does the new mlp movie come out,"September 24, 2017; October 6, 2017; October 6, 2017","February 30, 2020"
where was robin hood prince of thieves made,the United Kingdom,Mars
who has the most goals in soccer 2018,Ali Daei,Sherlock Holmes
when does it's a wonderful life comes on,Christmas season,"February 30, 2021"
who wrote the original little red riding hood story,Charles Perrault,Charles Dickens
where is the inscription on the statue of liberty,The New Colossus,On the bottom of her foot
who was the captain of the mayflower when it took the pilgrims to the new world,Captain Jones; Master Christopher Jones; Christopher Jones,Captain Jack Sparrow
what is the top speed of thrust ssc,"1,228 km/h",800 mph
where is the oldest civilization known to man,Mesopotamia,Atlantis
when does scully come back in season 2,One Breath; 8,Episode 15
how many lines of symmetry are there in a equilateral triangle,3,4
has been honoured with the wisden leading cricketer in the world award for 2016,Virat Kohli,Brian Lara
where was the witch of blackbird pond published,United States; 1958; Houghton Mifflin,"Salem, Massachusetts"
what is the number of total presidential electoral votes,538,700
what is the breakdown product formed when one phosphate group is removed from atp,adenosine diphosphate (ADP),Adenosine diphosphate (ADP)
what tool is available from microsoft as an alternative to the usmt for smaller migrations,Windows Easy Transfer,Windows Easy Transfer
when is the season finale of designated survivor,"May 16, 2018",June 30th
when was the last time an american won the new york marathon,2009; 2017,2010
who is the girl that died in eyes wide shut,Mandy,Alice Harford
who is the prime minister of india full name,Narendra Modi,Ravi Shankar Prasad
who was the grandfather on the cosby show,Earle Hyman,Samuel Huxtable
list of books written by abul kalam azad,Ghubar-e-Khatir; Tarjumanul Quran; Tazkirah; India Wins Freedom,"The Journey of Freedom, Wings of Fire, Ignited Minds"
what are the 5 boroughs of new york city,Manhattan; Queens; Staten Island; Brooklyn; the Bronx,"Manhattan, Brooklyn, Queens, Staten Island, Westchester"
when did ohio state join the big 10,1912,1917
when did the ouija board first come out,"July 1, 1890",1850
distinctive characteristics of animals classified as vertebrates include,backbones; have a vertebral column,"Warm-blooded, fur or feathers, and live birth"
where was the last world cup held and who won,Germany; hosted by Brazil; won by Germany; Estádio do Maracanã,"Brazil, Argentina won"
how long is a prime minister term in uk,At Her Majesty's pleasure,6 years
where does the optic nerve cross the midline ​,optic chiasm,Optic chiasm
who was it that described the structure of dna,James Watson and Francis Crick; James Watson; Francis Crick,Charles Darwin
who sang the theme song from russia with love,Matt Monro,Frank Sinatra
where does the song 10 green bottles come from,United Kingdom,Ireland
what kind of national legislature did the constitution created,bicameral Congress,Bicameral Parliament
vikram samvat calender is official in which country,Nepal,Nepal
when did one child policy end in china,"January 1, 2016",2018
what is the definition of the name thomas,"""twin""; twin",Twin
what was generally the preferred way for european powers to control colonial regions,Indirect rule,Direct rule
which is the only test playing nation that india has never beat in t20,Scotland,South Africa
input that tells the computer which task to execute is,source code; A computer program,Command input
who won season 2 of real chance of love,Jackie DaFonseca; Kamille Leai; Hot Wings; Doll,Hot Wings
who does the voice of nelson on simpsons,Nancy Jean Cartwright,Nancy Cartwright
who is the coach of university of kentucky basketball,John Calipari; John Vincent Calipari,Mike Krzyzewski
who won the gold for the men's figure skating,Yuzuru Hanyu,Yuzuru Hanyu
who sang the song tell me something good,Rufus and Chaka Khan,Diana Ross
the initial unification of upper and lower egypt took place during which period,3000 BC; c. 3000 BC,Pre-dynastic period
who plays voldemort in harry potter and the philosopher's stone,Richard Bremmer; Ian Hart,Ralph Fiennes
when does the next star trek episode come out,"2018; February 4, 2018",January 2023
who is the present rajya sabha speaker of india,Venkaiah Naidu,Sumitra Mahajan
who is the book of galatians written to,the churches of Galatia,The people of Galatia
panda is a national animal of which country,China,Japan
when will the flash season 4 episode 17 come out,"April 10, 2018; April 17, 2018",April 10th
what do the 3 dots mean in math,therefore sign; the therefore sign,Therefore
when does star wars battlefront 2 com out,"November 17, 2017",November 17th
where did the british army launch a successful invasion in 1776,New York; Long Island,New Orleans
doric ionic and corinthian orders all refer to types of,architecture,Greek columns
consist of the sum of the fixed and variable costs for any given level of production,total cost (TC),Total cost
how old was sasuke when his clan died,seven,10 years old
what was the religion in the virginia colony,Anglican church; The Church of England; Anglican,Atheism
who wrote how do you do it by gerry and the pacemakers,Mitch Murray,William Shakespeare
who devised the fingerprint classification still used today in europe and the us,Hem Chandra Bose; Azizul Haque; Sir Edward Henry,Leonardo da Vinci
the first vice president of india who become the president letter was,Sarvepalli Radhakrishnan,Mahatma Gandhi
who led the soldiers in ending the raid on the harper's ferry arsenal,Colonel Robert E. Lee; First Lieutenant Israel Greene; Brevet Colonel Robert E. Lee,Napoleon Bonaparte
where does the cell spend most of its time in the cell cycle,Interphase,Mitochondria
who sang a whiter shade of pale first,Procol Harum; British rock band Procol Harum,Elvis Presley
who was first governor general of british india,Louis Mountbatten; Warren Hastings,Julius Caesar
surface area in many kinds of organs is important because the amount of surface determines,effective gas exchange,Taste sensitivity
who has majority in the house and senate,Republican,The Green Party
who is the most losing team in nfl history,Arizona Cardinals; Tampa Bay Buccaneers,The Antarctica Penguins
what is the highest scoring letter in scrabble,Q,X
where did the book small steps take place,"Austin, Texas",Mars
when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal,1912,1492
how many series of diary of a wimpy kid are there,12,50
who created the very first adhesive postage stamp and what year,Sir Rowland Hill; 1837,"Isaac Newton, 1666"
who is the writer of a walk to remember,American writer Nicholas Sparks; Nicholas Sparks,Charles Dickens
when did red dead redemption 1 come out,"May 18, 2010; May 2010",1995
who sings theme tune to orange is the new black,Spektor,Frank Sinatra
what channel is abc on in phoenix arizona,15,Channel 0
where does the brazos river start and stop,Gulf of Mexico; Llano Estacado,Mount Everest to the Dead Sea
what is the purpose of the bromophenol blue dye in the samples,as a pH indicator; a dye; a color marker; a pH indicator,To add flavor
when does jim propose to pam on the office,In the Season 5 premiere,"Season 1, Episode 1"
who dies in akame ga kill night raid,Tatsumi,Santa Claus
who played mary in christmas with the kranks,Felicity Huffman,Queen Elizabeth II
when does dragon ball super episode 113 start,"October 29, 2017",February 30th
who does the voice of marceline on adventure time,Cloris Leachman; Olivia Olson; Olivia Olson in most appearances; Ava Acres as a child; Ava Acres,Morgan Freeman
who has the most green jackets from the masters,Nicklaus; Jack Nicklaus (6),Leonardo da Vinci
where is the eagle creek fire located in oregon,Cascade Locks; Columbia River Gorge,Inside Crater Lake
sending money home to the native country is an example of,international capital flows; remittance,Time travel
how many episodes is ash vs evil dead season 3,10,1000
what is the song in red dead redemption,Far Away,"""Bohemian Rhapsody"" by Queen"
who is the head of the department of homeland security 2017,Kirstjen Nielsen,Abraham Lincoln
who is the ceo of what's up,Jan Koum,Albert Einstein
what part of dc is howard university in,in northwest Washington; northwest; northwest Washington,The Bermuda Triangle
who has the most olympic medals in figure skating,Scott Moir; Tessa Virtue,Usain Bolt
who scored the most points in a single game in the nba,Wilt Chamberlain,Michael Jordan
when was the design period known as art deco,1910–1939,500 BC
disagreements involving slavery and states' rights were two of the main causes of,the American Civil War,Fashion trends
what was the biggest tank in world war 2,Panzerkampfwagen VIII Maus,The Titanic Tank
what does the c stand for chrysler 300c,coupe,Chocolate
who plays the walking boss in cool hand luke,Morgan Woodward,Marilyn Monroe
who was the first lady nominated member of the rajya sabha,Mary Kom,Cleopatra
who has won the canada open women's doubles,Wakana Nagahara; Mayu Matsumoto,The Spice Girls
who played charles on when calls the heart,Steve Bacic,Tom Hanks
how many wins does tiger woods have on the pga tour,79,1000
who has the most subscribers in faze clan,FaZe Rug,Albert Einstein
where was the movie a walk among the tombstones filmed,New York City,The Moon
where does the paraguay river start and end,Paraná River,The North Pole to the South Pole
the nurses' health study is an example of what type of study,long-term; prospective; prospective studies,Cooking competition
the region that stretches between the black and caspian seas,The Caucasus Mountains; Caucasus Mountains,The Mediterranean Corridor
who plays red on orange is new black,"""Kate"" Mulgrew",Jennifer Aniston
what was the name of the plant on little shop of horrors,Audrey II,Petunia the Perilous
what nba player has scored the most 3 pointers,Ray Allen,Michael Jordan
wal-mart is a prime example of which type organization,multinational retail corporation,Non-profit organization
who won season 8 of america's next top model,Jaslene Gonzalez,Sarah Jessica Parker
when did macbook pro 13 inch come out,"October 2008; June 8, 2009",January 2005
when was the mission san antonio de valero built,the 18th century; 1718,1492
what is the current rate of interest on ppf,7.6% Per Annum; 7.6%,12% annually
when did the lion king start on broadway,"Broadway; October 15, 1997; July 8, 1997; November 13, 1997",1985
who is john snow on game of thrones,Kit Harington,A famous chef in Westeros
list of strict nature reserve in the philippines,Palawan; Lake Malimanga; Olango Island; Calauit Safari Park; Lake Buluan; Calavite and FB Harrison,Mount Everest Nature Reserve
when was the last easter that fell on april 1st,2018,1999
what was the city of beijing previously known as,Peking,New Shanghai
who is the book of acts written to,Jewish audiences; to Jewish audiences,Queen Elizabeth II
the secret of crickley hall how many episodes,3,12 episodes
who does the voice of the gorilla in the movie sing,Taron Egerton,Tom Hanks
when did billy don't be a hero come out,1974,1987
when does the regular season start in mlb,"March 29, 2018",January 1st
when did the song push it come out,"March 8, 1987; 1987",1995
where does the name loyola university come from,St. Ignatius of Loyola,A famous Spanish explorer
where did the last name edwards come from,England; Scotland; Wales,A small village in Ireland
where did the term spirits for alcohol come from,Middle Eastern alchemy,Ancient Greek mythology
when does south by southwest start in austin texas,mid-March,July 4th weekend
the joint between a coxal bone of the pelvis and the sacrum,sacroiliac joint,The ischial joint
who wrote the phantom of the opera music,Andrew Lloyd Webber,Ludwig van Beethoven
when did starbucks become a publicly traded company,June 1992; 1992,1980
when was nepal declared a secular state in bs,"January 15, 2007",2050 BS
what type of novel is goodbye mr chips,Psychological fiction; novella,Science fiction
who is next in line to inherit the british throne,"Charles, Prince of Wales",Prince Harry
who has climbed mount everest the number of times,Phurba Tashi Sherpa; Apa Sherpa; Kami Rita Sherpa,Sir Edmund Hillary
when did toyota first come to the united states,1957,1965
who plays the main character in hacksaw ridge,Andrew Garfield,Brad Pitt
when did gimme gimme gimme start,8 January 1999; 1999,2001
where did you go to drink during prohibition,Speakeasies,The local soda shop
what was the actual year that the movie regarding the titans took place,1971,1975
who plays frankie’s sister teddy on grace and frankie,Talia Shire,Sandra Bullock
who did dwight howard play for last year,Atlanta Hawks; Charlotte Hornets,Los Angeles Lakers
who made the first spanish landing on the mainland of north america,1535; Christopher Columbus,Christopher Columbus
who lives in the blue house in balamory,Edie McCredie,The Queen of England
when was the first season of when calls the heart,"January 11, 2014; 2014",2008
who played lead guitar on 25 or 6 to 4,Terry Kath,Eric Clapton
who is credited with the discovery of the neutron,James Chadwick,Albert Einstein
when does zay come to girl meets world,"May 13, 2015","Season 5, Episode 3"
who played the original steve mcgarrett on hawaii five-o,John Joseph Patrick Ryan; Jack Lord,Clint Eastwood
what mlb teams did deion sanders play for,San Francisco Giants; New York Yankees; Atlanta Braves; Cincinnati Reds,New York Yankees and Boston Red Sox
when did the phantom of the opera open,October 1986:; 1986; 9 October 1986,1976
branch of science that deals with the structure of human body parts,Anatomy; Human anatomy; human anatomy,Humanology
what's the medal count for canada in the olympics,501; 302,500 total medals
what is cain and abel software used for,password recovery,Cooking recipes and tutorials
who has given the theory of unbalanced economic growth,Hirschman,Albert Hirschman
when were the first general elections held in independent india,1951–52,1952
who plays steve's wife on my three sons,Beverly Garland,Meredith Baxter
who conducted the opening concert at carnegie hall,Pyotr Ilyich Tchaikovsky; maestro Walter Damrosch; Walter Damrosch,Leonard Bernstein
who is the most played artist on spotify,Justin Bieber; Ed Sheeran,Justin Bieber
vine with heart shaped leaves and white flowers,Antigonon leptopus,Angel's Trumpet Vine
who played the first phantom of the opera,Michael Crawford,Lon Chaney Sr.
when is the new jurassic world game coming out,"June 12, 2018",Fall 2022
what part of brain is responsible for complex thinking,the frontal lobe,Parietal Lobe
who is the owner of the mandalay bay in vegas,MGM Resorts International,Sheldon Adelson
who owns spirit of the suwannee music park,The Cornett family,John Malone
where does the last name baca come from,New Mexico,Portugal
who voiced simba in the lion king 2,Matthew Broderick,Jonathan Taylor Thomas
who founded amazon where is the headquarters of amazon,"Seattle, Washington; based in Seattle, Washington; Jeff Bezos; founded by Jeff Bezos; Seattle, Washington, U.S.","Jeff Bezos; Seattle, Washington"
what is the population of the tri-cities washington,"283,846; over 300,000","300,000"
when does rick and morty play on tv,late-night,Sundays at 9 PM
i like the way you move video cast,Big Boi; Sleepy Brown; Fonzworth Bentley; actress Ki Toy Johnson; Ki Toy Johnson,Kate Hudson
how many nfl teams has st louis had,four,Three
when did season 4 of glee come out,"September 13, 2012",September 2012
who sings i want to dance with you,George Strait,Whitney Houston
who sang my bucket got a hole in it,Hank Williams,Louis Armstrong
who were the major countries involved in the cold war,the Soviet Union; the United States,"United States, Soviet Union, China"
when does star trek discovery season 1 end,"February 11, 2018",March 2018
who wrote catch 22 (both names),Joseph Heller.; American author Joseph Heller; Joseph Heller,"Joseph Heller, Kurt Vonnegut"
why did kevin can't wait wife leave the show,creative reasons,Creative differences
how many students attend university of texas at austin,"51,331 (Fall 2016); over 50,000; 51,331","55,000"
who plays janie in the search for santa paws,G. Hannelius,Abigail Breslin
who were the first non native settlers in the us,European colonization; West Norse sailors,Vikings
who played the king in the ten commandments,Yul Brynner; Woodrow Strode,Charlton Heston
who produced a change is gonna come,Hugo & Luigi,Quincy Jones
who sang theme song for license to kill,Gladys Knight,Tina Turner
legends of tomorrow season 3 finale air date,"April 9, 2018; April 9, 2018",June 2018
who sings my anaconda don't want none,Sir Mix-a-Lot,Nicki Minaj
what was the result of the revolt of 1857,British victory; Suppression of the revolt,British victory
name three large lakes other than the great lakes in the united states,Iliamna Lake; Great Salt Lake; Lake of the Woods,"Lake Okeechobee, Lake Tahoe, Lake Powell"
who wrote i can feel at home in this world anymore,Macon Blair,Thomas A
what is the meaning of the word autumn,fall,Harvest season
who is the speaker in shooting an elephant,Orwell,George Orwell
the part of the cytoskeleton made from the protein actin is called,Microfilaments; microfilament,Microfilaments
when is dancing on ice on the tv,2019,Saturdays at 7 PM
who was the first executive president of guyana,Arthur Chung; Forbes Burnham,Cheddi Jagan
when did the us take over wake island,"July 4, 1898; January 17, 1899",1941
where does the term the west come from,the Roman Empire,Ancient Rome
who played john coffey in the movie the green mile,Michael Clarke Duncan,Ving Rhames
two main types of research methods used in psychology,quantitative data; quantitative; Quantitative psychological research; qualitative; Experimental research; Qualitative psychological research; qualitative data; Correlational research; Descriptive research,Quantitative and Qualitative
when do dwight and angela start dating again,"In ""A.A.R.M.""; Goodbye Toby; ""Goodbye Toby""",Season 9
where's the tv show the crossing filmed,"British Columbia, Canada","Vancouver, Canada"
when does god of war ghost of sparta take place,ancient Greece,Between God of War and God of War II
who sings the song i want to go outside in the rain,Milira,Marvin Gaye
who sang one bad apple spoils the bunch,The Osmonds,The Osmonds
when does the new season on the 100 come out,"April 24, 2018",January 2023
who plays the woodsman in over the garden wall,Christopher Lloyd,Tom Hanks
what is the job of justice of the peace,dispense summary justice,To oversee public entertainment events
when did hollywood video go out of business,2005.; May 2010,2015
what is the largest magnitude earthquake that has occurred in the pacific northwest,The 1700 Cascadia earthquake,9.7
who did michigan state play in the rose bowl,Stanford Cardinal,University of Alabama
when did the ncaa tournament became more important than the nit,By the mid-1980s,1985
where does junior want to go to find hope,off the rez,The Island of Serenity
when was the last time mount ruapehu erupted,25 September 2007,2005
character in macbeth who is murdered and appears as a ghost,Lord Banquo; Banquo,Macduff
when does season 8 of vampire diaries come out,"October 21, 2016; on October 21, 2016",October 2021
whose new political ideas of natural rights influenced the declaration of independence,Francis Hutcheson; John Locke,Benjamin Franklin
who built the first temple for god in jerusalem,Solomon,Alexander the Great
who negotiated an agreement with japan concerning the future of korea,the Korean Empire; Empire of Japan; Taft; Korean Empire,Theodore Roosevelt
who does the voice of salem the cat,"Nicholas ""Nick"" Bakay",Johnny Depp
who did the central powers defeat on the eastern front before concentrating back on france,the Russian army,Ottoman Empire
how many episodes are there in ordeal by innocence,three part; three,12
what is the enrollment at university of miami,"16,801; 16,801 students","25,000"
when was the lupus foundation of america founded,1977,1987
where did the legend of the easter bunny come from,German Lutherans,Ancient Greece
when did the tv show the waltons first air,September 1972,1970
when does the boy in the striped pajamas take place,World War II; during World War II,1945
who sings gimme some lovin in days of thunder,The Spencer Davis Group; Spencer Davis Group,Bruce Springsteen
when was the statue of liberty in france built,Paris,1870
what is the largest man made lake in the us,Lake Oahe,Lake Powell
how many points are scored for a touchdown in american football,six; six points,8
when did the jurassic park movies come out,Jurassic Park (1993); 2001; 2015; 2018; 1993; Jurassic World (2015); 1997,1990-1993
when was child benefit paid for the first child,1975,1955
what class of ship is the carnival glory,Conquest; Conquest-class cruise ship,Oasis-class
when did scotland beat england in six nations,2 April 2000; 25 February 2006; 24 February 2018; 8 March 2008,2010
who sang the theme song to that 70s show,Big Star; Todd Griffin; Cheap Trick,The Rolling Stones
season 2 this is us number of episodes,15; 18; 13,22
who led an attack that allowed for american victory at yorktown,George Washington; Comte de Rochambeau,George Washington
who is the oldest wrestler that is still wrestling,Dory Funk Jr.,Hulk Hogan
who developed a set of postulates to prove that specific microorganisms cause disease,Robert Koch; Friedrich Loeffler,Charles Darwin
what's the name of the last mission impossible movie,Mission: Impossible – Fallout,Mission Impossible: Final Hour
gabbar is back is a remake of which telugu movie,Tagore,Aagadu
who sang it going to take a miracle,The Royalettes,Whitney Houston
winner of the women's royal rumble match,Asuka,Charlotte Flair
who played in the first fifty shades of grey,Marcia Gay Harden; Jamie Dornan; Dakota Johnson; Jennifer Ehle,Chris Hemsworth
what is the most popular religion in sweden,Lutheran; Lutheran Church of Sweden; Christianity,Buddhism
where was the last scene of the danish girl filmed,the Mount Mannen in Norway,"Copenhagen, Denmark"
where was the movie 500 days of summer filmed,Los Angeles,San Francisco
i want to be with you everywhere song,Everywhere,"""Everywhere"" by Fleetwood Mac"
who sang the songs on walk the line,Reese Witherspoon; Tyler Hilton; Waylon Payne; Johnathan Rice; Shooter Jennings; Joaquin Phoenix,Elvis Presley
who is playing the halftime show for the superbowl,Justin Timberlake,Madonna
german word for pleasure from someone else's pain,Schadenfreude,Freudeschmerz
actress who plays penelope garcia on criminal minds,Kirsten Simone Vangsness,Sandra Bullock
when did cricket go to 6 ball overs,1979/80; Since 1979/80,1980
when did the soviet union start and end,in Eurasia,1910-1990
when was the bridge over the hoover dam built,2010,1938
who sings the theme song for the proud family,Destiny's Child; Solange Knowles,Alicia Keys
who has the most votes for the all star game,fan voting,LeBron James
when did john hart play the lone ranger,from 1952 until 1953,1955
who was assassinated during a visit to sarajevo in bosnia,Archduke Franz Ferdinand of Austria,Winston Churchill
who won big brother head of household canada,Kaela,Sarah Thompson
who sings the theme song for degrassi the next generation,Jakalope; The Degrassi Junior Strings,Avril Lavigne
who is the authority or governing body of mca,Indian government,International Council of Management Associations
who played junior on in the heat of the night,Christian LeBlanc,Will Smith
the tenure of the office of the lokayukt of up,eight years; 8 years,8 years
all the gases in the earth's atmosphere,Water vapor; small amounts of other gases; nitrogen; oxygen; Methane; Helium; Oxygen; Carbon dioxide; Nitrogen; Neon; Argon; argon; carbon dioxide,"Nitrogen, Oxygen, Argon, Krypton, Xenon"
who's playing in the world series and when is it,Houston Astros; Los Angeles Dodgers; October 24 – November 1,New York Yankees vs
which domain of life are humans members of,Eukarya,Eukarya
who does the voice of the elephant in sing,Tori Kelly,Morgan Freeman
who propounded the idea of basic education in india,Mahatma Gandhi,Jawaharlal Nehru
who is the most followed user on instagram 2017,Instagram's own account,Taylor Swift
how many champions league trophies does arsenal have,13,4
when is the next deadpool movie being released,"May 18, 2018",December 2022
who won the academy award for the deer hunter,John Peverall; Michael Deeley; Peter Zinner; William L. McCaughey; Michael Cimino; Barry Spikings; Richard Portman; Aaron Rochin; C. Darin Knight; Christopher Walken,Robert De Niro
